filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
dataset/pluto_contracts_unmark/0x0dce40212e3c689ad502739e283d9c3ac79727bc.sol,0x0dce40212e3c689ad502739e283d9c3ac79727bc.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717148702.7326746,10.25247311592102,0,{},{},{Solc experienced a fatal error},{}
dataset/pluto_contracts_unmark/0x0de059aa5dd17427b58145782143c4e3d2dda6ab.sol,0x0de059aa5dd17427b58145782143c4e3d2dda6ab.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717156678.2948117,611.5081589221954,,{},{},{},{DOCKER_TIMEOUT}
dataset/pluto_contracts_unmark/0x0dea9b8e6bf08d6859e29256942916f0cfb884fb.sol,0x0dea9b8e6bf08d6859e29256942916f0cfb884fb.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717327462.1448863,154.917311668396,1,{Exception_State_SWC_110},{},{},{}
dataset/pluto_contracts_unmark/0x0ded73d48e190fd12da7cf58893e279fb11384bc.sol,0x0ded73d48e190fd12da7cf58893e279fb11384bc.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1716953612.4678988,611.5321660041809,,{},{},{},{DOCKER_TIMEOUT}
dataset/pluto_contracts_unmark/0x0df6b23127cfd1c931000cbb452a0d75a716c3cd.sol,0x0df6b23127cfd1c931000cbb452a0d75a716c3cd.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1716987814.7438633,611.2940402030945,,{},{},{},{DOCKER_TIMEOUT}
dataset/pluto_contracts_unmark/0x0dfb5d0960a40dae7cace8820e55afcdd4a9d5ab.sol,0x0dfb5d0960a40dae7cace8820e55afcdd4a9d5ab.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717161251.429675,611.287314414978,,{},{},{},{DOCKER_TIMEOUT}
dataset/pluto_contracts_unmark/0x0e14ff106b70b807d74190ce2c2d0bb8c865082d.sol,0x0e14ff106b70b807d74190ce2c2d0bb8c865082d.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717085772.3066165,10.520695209503174,0,{},{},{Solc experienced a fatal error},{}
dataset/pluto_contracts_unmark/0x0e1bebe6b75595d3c7fb99550757e310bc2edf2a.sol,0x0e1bebe6b75595d3c7fb99550757e310bc2edf2a.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717136159.3438737,528.3075020313263,0,{},{},{},{}
dataset/pluto_contracts_unmark/0x0e22734e078d6e399bcee40a549db591c4ea46cb.sol,0x0e22734e078d6e399bcee40a549db591c4ea46cb.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1717252460.3741791,611.6337251663208,,{},{},{},{DOCKER_TIMEOUT}
dataset/pluto_contracts_unmark/0x0e5632feb2c2619dba9c7e2dc5a7ed3fd14969da.sol,0x0e5632feb2c2619dba9c7e2dc5a7ed3fd14969da.sol,mythril-0.24.7,solidity,2024/03/24,20240528_1112,1716923062.490791,611.4304141998291,,{},{},{},{DOCKER_TIMEOUT}
